"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"V23.98","Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider, traffic accident, other specified motorcycle","V23.9",
"V23.99","Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V23.9",
"V24.00","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, motor-scooter, moped or motorised bicycle","V24.0",
"V24.01","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, motorcycle designed primarily for on-road use","V24.0",
"V24.02","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, motorcycle designed primarily for off-road use","V24.0",
"V24.08","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, other specified motorcycle","V24.0",
"V24.09","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, unspecified motorcycle","V24.0",
"V24.10","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle","V24.1",
"V24.11","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, motorcycle designed primarily for on-road use","V24.1",
"V24.12","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, motorcycle designed primarily for off-road use","V24.1",
"V24.18","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, other specified motorcycle","V24.1",
"V24.19","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, unspecified motorcycle","V24.1",
"V24.20","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, nontraffic accident, motor-scooter, moped or motorised bicycle","V24.2",
"V24.21","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for on-road use","V24.2",
"V24.22","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for off-road use","V24.2",
"V24.28","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, nontraffic accident, other specified motorcycle","V24.2",
"V24.29","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, nontraffic accident, unspecified motorcycle","V24.2",
"V24.30","Motorcycle rider injured in collision with heavy transport vehicle or bus, while boarding or alighting, motor-scooter, moped or motorised bicycle","V24.3",
"V24.31","Motorcycle rider injured in collision with heavy transport vehicle or bus, while boarding or alighting, motorcycle designed primarily for on-road use","V24.3",
"V24.32","Motorcycle rider injured in collision with heavy transport vehicle or bus, while boarding or alighting, motorcycle designed primarily for off-road use","V24.3",
"V24.38","Motorcycle rider injured in collision with heavy transport vehicle or bus, while boarding or alighting, other specified motorcycle","V24.3",
"V24.39","Motorcycle rider injured in collision with heavy transport vehicle or bus, while boarding or alighting, unspecified motorcycle","V24.3",
"V24.40","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, traffic accident, motor-scooter, moped or motorised bicycle","V24.4",
"V24.41","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, traffic accident, motorcycle designed primarily for on-road use","V24.4",
"V24.42","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, traffic accident, motorcycle designed primarily for off-road use","V24.4",
"V24.48","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, traffic accident, other specified motorcycle","V24.4",
"V24.49","Motorcycle rider injured in collision with heavy transport vehicle or bus, driver, traffic accident, unspecified motorcycle","V24.4",
"V24.50","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, traffic accident, motor-scooter, moped or motorised bicycle","V24.5",
"V24.51","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, traffic accident, motorcycle designed primarily for on-road use","V24.5",
"V24.52","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, traffic accident, motorcycle designed primarily for off-road use","V24.5",
"V24.58","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, traffic accident, other specified motorcycle","V24.5",
"V24.59","Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger, traffic accident, unspecified motorcycle","V24.5",
"V24.90","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, traffic accident, motor-scooter, moped or motorised bicycle","V24.9",
"V24.91","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use","V24.9",
"V24.92","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for off-road use","V24.9",
"V24.98","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, traffic accident, other specified motorcycle","V24.9",
"V24.99","Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V24.9",
"V25.00","Motorcycle rider injured in collision with railway train or railway vehicle, driver, nontraffic accident, motor-scooter, moped or motorised bicycle","V25.0",
"V25.01","Motorcycle rider injured in collision with railway train or railway vehicle, driver, nontraffic accident, motorcycle designed primarily for on-road use","V25.0",
"V25.02","Motorcycle rider injured in collision with railway train or railway vehicle, driver, nontraffic accident, motorcycle designed primarily for off-road use","V25.0",
"V25.08","Motorcycle rider injured in collision with railway train or railway vehicle, driver, nontraffic accident, other specified motorcycle","V25.0",
"V25.09","Motorcycle rider injured in collision with railway train or railway vehicle, driver, nontraffic accident, unspecified motorcycle","V25.0",
"V25.10","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle","V25.1",
"V25.11","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, nontraffic accident, motorcycle designed primarily for on-road use","V25.1",
"V25.12","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, nontraffic accident, motorcycle designed primarily for off-road use","V25.1",
"V25.18","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, nontraffic accident, other specified motorcycle","V25.1",
"V25.19","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, nontraffic accident, unspecified motorcycle","V25.1",
"V25.20","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, nontraffic accident, motor-scooter, moped or motorised bicycle","V25.2",
"V25.21","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for on-road use","V25.2",
"V25.22","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for off-road use","V25.2",
"V25.28","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, nontraffic accident, other specified motorcycle","V25.2",
"V25.29","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, nontraffic accident, unspecified motorcycle","V25.2",
"V25.30","Motorcycle rider injured in collision with railway train or railway vehicle, while boarding or alighting, motor-scooter, moped or motorised bicycle","V25.3",
"V25.31","Motorcycle rider injured in collision with railway train or railway vehicle, while boarding or alighting, motorcycle designed primarily for on-road use","V25.3",
"V25.32","Motorcycle rider injured in collision with railway train or railway vehicle, while boarding or alighting, motorcycle designed primarily for off-road use","V25.3",
"V25.38","Motorcycle rider injured in collision with railway train or railway vehicle, while boarding or alighting, other specified motorcycle","V25.3",
"V25.39","Motorcycle rider injured in collision with railway train or railway vehicle, while boarding or alighting, unspecified motorcycle","V25.3",
"V25.40","Motorcycle rider injured in collision with railway train or railway vehicle, driver, traffic accident, motor-scooter, moped or motorised bicycle","V25.4",
"V25.41","Motorcycle rider injured in collision with railway train or railway vehicle, driver, traffic accident, motorcycle designed primarily for on-road use","V25.4",
"V25.42","Motorcycle rider injured in collision with railway train or railway vehicle, driver, traffic accident, motorcycle designed primarily for off-road use","V25.4",
"V25.48","Motorcycle rider injured in collision with railway train or railway vehicle, driver, traffic accident, other specified motorcycle","V25.4",
"V25.49","Motorcycle rider injured in collision with railway train or railway vehicle, driver, traffic accident, unspecified motorcycle","V25.4",
"V25.50","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, traffic accident, motor-scooter, moped or motorised bicycle","V25.5",
"V25.51","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, traffic accident, motorcycle designed primarily for on-road use","V25.5",
"V25.52","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, traffic accident, motorcycle designed primarily for off-road use","V25.5",
"V25.58","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, traffic accident, other specified motorcycle","V25.5",
"V25.59","Motorcycle rider injured in collision with railway train or railway vehicle, passenger, traffic accident, unspecified motorcycle","V25.5",
"V25.90","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, traffic accident, motor-scooter, moped or motorised bicycle","V25.9",
"V25.91","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use","V25.9",
"V25.92","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for off-road use","V25.9",
"V25.98","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, traffic accident, other specified motorcycle","V25.9",
"V25.99","Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V25.9",
"V26.00","Motorcycle rider injured in collision with other nonmotor vehicle, driver, nontraffic accident, motor-scooter, moped or motorised bicycle","V26.0",
"V26.01","Motorcycle rider injured in collision with other nonmotor vehicle, driver, nontraffic accident, motorcycle designed primarily for on-road use","V26.0",
"V26.02","Motorcycle rider injured in collision with other nonmotor vehicle, driver, nontraffic accident, motorcycle designed primarily for off-road use","V26.0",
"V26.08","Motorcycle rider injured in collision with other nonmotor vehicle, driver, nontraffic accident, other specified motorcycle","V26.0",
"V26.09","Motorcycle rider injured in collision with other nonmotor vehicle, driver, nontraffic accident, unspecified motorcycle","V26.0",
"V26.10","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle","V26.1",
"V26.11","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, nontraffic accident, motorcycle designed primarily for on-road use","V26.1",
"V26.12","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, nontraffic accident, motorcycle designed primarily for off-road use","V26.1",
"V26.18","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, nontraffic accident, other specified motorcycle","V26.1",
"V26.19","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, nontraffic accident, unspecified motorcycle","V26.1",
"V26.20","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, nontraffic accident, motor-scooter, moped or motorised bicycle","V26.2",
"V26.21","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for on-road use","V26.2",
"V26.22","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for off-road use","V26.2",
"V26.28","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, nontraffic accident, other specified motorcycle","V26.2",
"V26.29","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, nontraffic accident, unspecified motorcycle","V26.2",
"V26.30","Motorcycle rider injured in collision with other nonmotor vehicle, while boarding or alighting, motor-scooter, moped or motorised bicycle ","V26.3",
"V26.31","Motorcycle rider injured in collision with other nonmotor vehicle, while boarding or alighting, motorcycle designed primarily for on-road use","V26.3",
"V26.32","Motorcycle rider injured in collision with other nonmotor vehicle, while boarding or alighting, motorcycle designed primarily for off-road use","V26.3",
"V26.38","Motorcycle rider injured in collision with other nonmotor vehicle, while boarding or alighting, other specified motorcycle","V26.3",
"V26.39","Motorcycle rider injured in collision with other nonmotor vehicle, while boarding or alighting, unspecified motorcycle","V26.3",
"V26.40","Motorcycle rider injured in collision with other nonmotor vehicle, driver, traffic accident, motor-scooter, moped or motorised bicycle","V26.4",
"V26.41","Motorcycle rider injured in collision with other nonmotor vehicle, driver, traffic accident, motorcycle designed primarily for on-road use","V26.4",
"V26.42","Motorcycle rider injured in collision with other nonmotor vehicle, driver, traffic accident, motorcycle designed primarily for off-road use","V26.4",
"V26.48","Motorcycle rider injured in collision with other nonmotor vehicle, driver, traffic accident, other specified motorcycle","V26.4",
"V26.49","Motorcycle rider injured in collision with other nonmotor vehicle, driver, traffic accident, unspecified motorcycle","V26.4",
"V26.50","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, traffic accident, motor-scooter, moped or motorised bicycle","V26.5",
"V26.51","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, traffic accident, motorcycle designed primarily for on-road use","V26.5",
"V26.52","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, traffic accident, motorcycle designed primarily for off-road use","V26.5",
"V26.58","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, traffic accident, other specified motorcycle","V26.5",
"V26.59","Motorcycle rider injured in collision with other nonmotor vehicle, passenger, traffic accident, unspecified motorcycle","V26.5",
"V26.90","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, traffic accident, motor-scooter, moped or motorised bicycle","V26.9",
"V26.91","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use","V26.9",
"V26.92","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for off-road use","V26.9",
"V26.98","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, traffic accident, other specified motorcycle","V26.9",
"V26.99","Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V26.9",
"V27.00","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, motor-scooter, moped or motorised bicycle","V27.0",
"V27.01","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, motorcycle designed primarily for on-road use","V27.0",
"V27.02","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, motorcycle designed primarily for off-road use","V27.0",
"V27.08","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, other specified motorcycle","V27.0",
"V27.09","Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident, unspecified motorcycle","V27.0",
"V27.10","Motorcycle rider injured in collision with fixed or stationary object, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle","V27.1",
"V27.11","Motorcycle rider injured in collision with fixed or stationary object, passenger, nontraffic accident, motorcycle designed primarily for on-road use","V27.1",
"V27.12","Motorcycle rider injured in collision with fixed or stationary object, passenger, nontraffic accident, motorcycle designed primarily for off-road use","V27.1",
"V27.18","Motorcycle rider injured in collision with fixed or stationary object, passenger, nontraffic accident, other specified motorcycle","V27.1",
"V27.19","Motorcycle rider injured in collision with fixed or stationary object, passenger, nontraffic accident, unspecified motorcycle","V27.1",
"V27.20","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, nontraffic accident, motor-scooter, moped or motorised bicycle","V27.2",
"V27.21","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for on-road use","V27.2",
"V27.22","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for off-road use","V27.2",
"V27.28","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, nontraffic accident, other specified motorcycle","V27.2",
"V27.29","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, nontraffic accident, unspecified motorcycle","V27.2",
"V27.30","Motorcycle rider injured in collision with fixed or stationary object, while boarding or alighting, motor-scooter, moped or motorised bicycle","V27.3",
"V27.31","Motorcycle rider injured in collision with fixed or stationary object, while boarding or alighting, motorcycle designed primarily for on-road use","V27.3",
"V27.32","Motorcycle rider injured in collision with fixed or stationary object, while boarding or alighting, motorcycle designed primarily for off-road use","V27.3",
"V27.38","Motorcycle rider injured in collision with fixed or stationary object, while boarding or alighting, other specified motorcycle","V27.3",
"V27.39","Motorcycle rider injured in collision with fixed or stationary object, while boarding or alighting, unspecified motorcycle","V27.3",
"V27.40","Motorcycle rider injured in collision with fixed or stationary object, driver, traffic accident, motor-scooter, moped or motorised bicycle","V27.4",
"V27.41","Motorcycle rider injured in collision with fixed or stationary object, driver, traffic accident, motorcycle designed primarily for on-road use","V27.4",
"V27.42","Motorcycle rider injured in collision with fixed or stationary object, driver, traffic accident, motorcycle designed primarily for off-road use","V27.4",
"V27.48","Motorcycle rider injured in collision with fixed or stationary object, driver, traffic accident, other specified motorcycle","V27.4",
"V27.49","Motorcycle rider injured in collision with fixed or stationary object, driver, traffic accident, unspecified motorcycle","V27.4",
"V27.50","Motorcycle rider injured in collision with fixed or stationary object, passenger, traffic accident, motor-scooter, moped or motorised bicycle","V27.5",
"V27.51","Motorcycle rider injured in collision with fixed or stationary object, passenger, traffic accident, motorcycle designed primarily for on-road use","V27.5",
"V27.52","Motorcycle rider injured in collision with fixed or stationary object, passenger, traffic accident, motorcycle designed primarily for off-road use","V27.5",
"V27.58","Motorcycle rider injured in collision with fixed or stationary object, passenger, traffic accident, other specified motorcycle","V27.5",
"V27.59","Motorcycle rider injured in collision with fixed or stationary object, passenger, traffic accident, unspecified motorcycle","V27.5",
"V27.90","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, traffic accident, motor-scooter, moped or motorised bicycle","V27.9",
"V27.91","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use","V27.9",
"V27.92","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for off-road use","V27.9",
"V27.98","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, traffic accident, other specified motorcycle","V27.9",
"V27.99","Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V27.9",
"V28.00","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, motor-scooter, moped or motorised bicycle","V28.0",
"V28.01","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, motorcycle designed primarily for on-road use","V28.0",
"V28.02","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, motorcycle designed primarily for off-road use","V28.0",
"V28.08","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, other specified motorcycle","V28.0",
"V28.09","Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident, unspecified motorcycle","V28.0",
"V28.10","Motorcycle rider injured in noncollision transport accident, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle","V28.1",
"V28.11","Motorcycle rider injured in noncollision transport accident, passenger, nontraffic accident, motorcycle designed primarily for on-road use","V28.1",
"V28.12","Motorcycle rider injured in noncollision transport accident, passenger, nontraffic accident, motorcycle designed primarily for off-road use","V28.1",
"V28.18","Motorcycle rider injured in noncollision transport accident, passenger, nontraffic accident, other specified motorcycle","V28.1",
"V28.19","Motorcycle rider injured in noncollision transport accident, passenger, nontraffic accident, unspecified motorcycle","V28.1",
"V28.20","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, nontraffic accident, motor-scooter, moped or motorised bicycle","V28.2",
"V28.21","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for on-road use","V28.2",
"V28.22","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, nontraffic accident, motorcycle designed primarily for off-road use","V28.2",
"V28.28","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, nontraffic accident, other specified motorcycle","V28.2",
"V28.29","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, nontraffic accident, unspecified motorcycle","V28.2",
"V28.30","Motorcycle rider injured in noncollision transport accident, while boarding or alighting, motor-scooter, moped or motorised bicycle","V28.3",
"V28.31","Motorcycle rider injured in noncollision transport accident, while boarding or alighting, motorcycle designed primarily for on-road use","V28.3",
"V28.32","Motorcycle rider injured in noncollision transport accident, while boarding or alighting, motorcycle designed primarily for off-road use","V28.3",
"V28.38","Motorcycle rider injured in noncollision transport accident, while boarding or alighting, other specified motorcycle","V28.3",
"V28.39","Motorcycle rider injured in noncollision transport accident, while boarding or alighting, unspecified motorcycle","V28.3",
"V28.40","Motorcycle rider injured in noncollision transport accident, driver, traffic accident, motor-scooter, moped or motorised bicycle","V28.4",
"V28.41","Motorcycle rider injured in noncollision transport accident, driver, traffic accident, motorcycle designed primarily for on-road use","V28.4",
"V28.42","Motorcycle rider injured in noncollision transport accident, driver, traffic accident, motorcycle designed primarily for off-road use","V28.4",
"V28.48","Motorcycle rider injured in noncollision transport accident, driver, traffic accident, other specified motorcycle","V28.4",
"V28.49","Motorcycle rider injured in noncollision transport accident, driver, traffic accident, unspecified motorcycle","V28.4",
"V28.50","Motorcycle rider injured in noncollision transport accident, passenger, traffic accident, motor-scooter, moped or motorised bicycle","V28.5",
"V28.51","Motorcycle rider injured in noncollision transport accident, passenger, traffic accident, motorcycle designed primarily for on-road use","V28.5",
"V28.52","Motorcycle rider injured in noncollision transport accident, passenger, traffic accident, motorcycle designed primarily for off-road use","V28.5",
"V28.58","Motorcycle rider injured in noncollision transport accident, passenger, traffic accident, other specified motorcycle","V28.5",
"V28.59","Motorcycle rider injured in noncollision transport accident, passenger, traffic accident, unspecified motorcycle","V28.5",
"V28.90","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, motor-scooter, moped or motorised bicycle","V28.9",
"V28.91","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for on-road use","V28.9",
"V28.92","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, motorcycle designed primarily for off-road use","V28.9",
"V28.98","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, other specified motorcycle","V28.9",
"V28.99","Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider, traffic accident, unspecified motorcycle","V28.9",
"V40.00","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, sedan","V40.0",
"V40.01","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, all-terrain four-wheel drive","V40.0",
"V40.02","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, four-wheeled motorcycle","V40.0",
"V40.03","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, passenger van","V40.0",
"V40.08","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, other specified car [automobile]","V40.0",
"V40.09","Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, unspecified car [automobile]","V40.0",
"V40.10","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, sedan","V40.1",
"V40.11","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, all-terrain four-wheel drive","V40.1",
"V40.12","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, four-wheeled motorcycle","V40.1",
"V40.13","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, passenger van","V40.1",
"V40.18","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, other specified car [automobile]","V40.1",
"V40.19","Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, unspecified car [automobile]","V40.1",
"V40.20","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, sedan","V40.2",
"V40.21","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive","V40.2",
"V40.22","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle","V40.2",
"V40.23","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, passenger van","V40.2",
"V40.28","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, other specified car [automobile]","V40.2",
"V40.29","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, unspecified car [automobile]","V40.2",
"V40.30","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, sedan ","V40.3",
"V40.31","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive ","V40.3",
"V40.32","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, four-wheeled motorcycle","V40.3",
"V40.33","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, passenger van","V40.3",
"V40.38","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, other specified car [automobile] ","V40.3",
"V40.39","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, unspecified car [automobile] ","V40.3",
"V40.40","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, sedan ","V40.4",
"V40.41","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, all-terrain four-wheel drive","V40.4",
"V40.42","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, four-wheeled motorcycle","V40.4",
"V40.43","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, passenger van ","V40.4",
"V40.48","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, other specified car [automobile] ","V40.4",
"V40.49","Car occupant injured in collision with pedestrian or animal, while boarding or alighting, unspecified car [automobile] ","V40.4",
"V40.50","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, sedan ","V40.5",
"V40.51","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, all-terrain four-wheel drive","V40.5",
"V40.52","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, four-wheeled motorcycle","V40.5",
"V40.53","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, passenger van ","V40.5",
"V40.58","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, other specified car [automobile] ","V40.5",
"V40.59","Car occupant injured in collision with pedestrian or animal, driver, traffic accident, unspecified car [automobile] ","V40.5",
"V40.60","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, sedan ","V40.6",
"V40.61","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, all-terrain four-wheel drive ","V40.6",
"V40.62","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, four-wheeled motorcycle","V40.6",
"V40.63","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, passenger van ","V40.6",
"V40.68","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, other specified car [automobile] ","V40.6",
"V40.69","Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, unspecified car [automobile] ","V40.6",
"V40.70","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, sedan ","V40.7",
"V40.71","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, all-terrain four-wheel drive ","V40.7",
"V40.72","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, four-wheeled motorcycle","V40.7",
"V40.73","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, passenger van ","V40.7",
"V40.78","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, other specified car [automobile] ","V40.7",
"V40.79","Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, unspecified car [automobile] ","V40.7",
"V40.90","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, sedan ","V40.9",
"V40.91","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, all-terrain four-wheel drive ","V40.9",
"V40.92","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, four-wheeled motorcycle","V40.9",
"V40.93","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, passenger van ","V40.9",
